text,sentiment
"I, on the other hand,",3 stars
would be a dish,3 stars
fit for the rakshas king himself!,5 stars
Enough!,3 stars
It amazes me you weren't devoured long ago.,4 stars
It must be true; fools have charmed lives.,5 stars
We will halt here for rest,3 stars
and take a break to eat.,1 star
If only to shut you up.,3 stars
"It's a fine day, Sugreev.",3 stars
You should be enjoying it more.,4 stars
Like those two fools?,1 star
Is that how I should be?,5 stars
"Frolicking in the woods,",5 stars
with a garland wrapped around my neck?,2 stars
"Yet, I do envy them.",3 stars
To be so free of responsibility.,5 stars
"And free of thought, too, apparently.",3 stars
"I never wanted to be king, Jambhvan.",1 star
The crown is a heavier burden,3 stars
than you can imagine.,5 stars
That's good.,3 stars
"To rule others should be hard, Sugreev.",3 stars
To be responsible for the lives,5 stars
of thousands should be a burden.,1 star
There are many,3 stars
who take such duties lightly.,5 stars
"They are not kings, but tyrants.",3 stars
"My brother was a good vaanar, old bear.",4 stars
But not always a good king.,3 stars
"He cannot rule himself, so what hope",1 star
does he have of ruling others?,3 stars
Of ruling well?,3 stars
Stop it or I'll give you one.,1 star
What? A guava?,1 star
A slap! Stop pulling my tail.,1 star
I was not pulling your tail.,1 star
I never touched your stinking...,1 star
"Is that you, Vaali?",1 star
Why fight from the shadows?,1 star
Do you not have the courage to face me?,1 star
"Face me, Vaali!",5 stars
Face your brother if you dare!,5 stars
"So, you decided to join us, eh?",3 stars
What took you so long?,5 stars
"I couldn't let you have all the fun,",5 stars
could I?,1 star
"Fun? If this is fun,",3 stars
I wonder what you call danger.,1 star
How bad is it?,1 star
Looks like the fun's not over yet.,3 stars
"So eager, my Lord?",5 stars
Would you deny this humble servant,1 star
the chance to prove himself,5 stars
against this small grass snake?,1 star
If you need my help...,3 stars
"Of course not, Your Highness.",1 star
I just need your blessings.,5 stars
Glory be to you.,5 stars
"Don't be proud, boy. Let me help.",1 star
"From this worm, my Lord?",1 star
I would die of shame.,1 star
"Just give me a moment,",4 stars
and I'll be done with this pest.,5 stars
"I am a vaanar, but my name is...",1 star
Have you quite finished?,3 stars
Apologies. Some of these grass snakes,1 star
can be tricky.,3 stars
"Well, you've made enough noise doing it.",3 stars
Let's return to Rishyamukh,1 star
before we attract the attention,3 stars
of any more grass snakes,5 stars
or the agents of Vaali.,3 stars
That naag was lucky you dealt with it.,5 stars
It's lucky it died when it did.,3 stars
I'd have killed it for sure!,5 stars
That I can believe.,5 stars
He'd already tucked his tail,2 stars
between his legs,3 stars
before that naag rattled its tail!,1 star
I do believe it would have laughed itself,2 stars
to death.,1 star
Vaali has gone too far,2 stars
with this latest assassination attempt.,5 stars
We don't know that the naag,3 stars
"was sent by him, Lord Sugreev.",5 stars
"Who else? He's taken my throne,",1 star
my kingdom and now...,5 stars
Now he wants my head.,5 stars
The forest whispers something new to me.,5 stars
"What now, Jambhvan?",1 star
My little friend has spotted two humans,4 stars
approaching Rishyamukh.,4 stars
Humans? Here?,1 star
"Yes. Dressed as ascetics,",5 stars
but carrying weapons of war.,3 stars
What could two humans want here?,1 star
They could be dangerous.,2 stars
"This cannot be a coincidence,",2 stars
and right after the naag's attack.,5 stars
"The signs are clear, my Lord!",5 stars
"First Vaali sends a naag assassin,",1 star
and now this.,5 stars
We cannot trust their presence in our,2 stars
"forests, my Lord! We must attack first.",5 stars
I advise we kill them quickly while,5 stars
we still have the element of surprise.,4 stars
"Why such suspicion, my Lords?",1 star
Maybe they have nothing to do,1 star
with Vaali.,4 stars
Perhaps they are merely lost.,3 stars
You know what humans are like.,5 stars
"No, the counsellors are right.",1 star
"Better they be destroyed,",2 stars
before they bring destruction upon us.,1 star
"You know what Vaali is,",3 stars
what he is capable of!,5 stars
"Yes, I do know him, my Lord.",5 stars
"A suspicious king,",5 stars
"the type to ambush strangers,",5 stars
because all he sees are shadows.,3 stars
A king who chases his own fear.,5 stars
"You are not that king, my Lord.",1 star
My King.,5 stars
Very well. We will not attack them yet.,5 stars
I will go to them.,5 stars
"You must not meet them, Lord Sugreev.",1 star
"If they are assassins,",3 stars
we must keep you in hiding.,5 stars
It is far too dangerous for any of us,1 star
to go meet with them.,5 stars
It would be best to send,3 stars
an expendable soldier.,5 stars
Nobody's life is expendable.,1 star
Neither any soldier's nor yours.,1 star
I'll speak to them. I'm sure I can,4 stars
find a way to reason with them.,4 stars
And if they turn out to be unreasonable?,2 stars
What then?,1 star
"Then, I will reason with this.",3 stars
It has been persuasive in the past.,4 stars
"Yes, it certainly has.",4 stars
A word of caution.,5 stars
These humans may have never seen,1 star
a vaanar before.,1 star
"In their ignorance, they might confuse you",3 stars
for a rakshas.,4 stars
It would be wise for you,3 stars
to wear a disguise.,5 stars
Are you sure we're on the right path?,3 stars
Do you think he'll help us?,3 stars
We're taking a big risk,1 star
exploring so deep into Dandaka Forest.,5 stars
It has a dangerous reputation.,1 star
Hope we haven't come in vain.,5 stars
And since when did danger ever stop,5 stars
the fearless Lakshman?,1 star
Since he thought,3 stars
he should've brought more arrows.,2 stars
Who? Who's there?,1 star
Come out and show yourselves!,5 stars
"You don't know how lucky you are, old man.",5 stars
I almost put an arrow through you.,2 stars
"Is that how you treat all strangers,",5 stars
young man?,1 star
Who are you?,5 stars
"My name is Lakshman,",5 stars
and this is no place to go wandering about.,1 star
And what do I call you?,5 stars
This is my home. I wander as I please.,5 stars
And my name is my own business.,5 stars
And you...,5 stars
Who are you?,5 stars
Lakshman's elder brother.,4 stars
Lakshman?,1 star
There is a prince of Ayodhya,5 stars
with such a name.,5 stars
His elder brother is also the Prince.,4 stars
His name...,1 star
R... R...,1 star
You are mistaken.,1 star
"In Ayodhya, there is neither Prince",1 star
Lakshman nor his elder brother. Not anymore.,1 star
So what brings you so deep into the forest?,3 stars
There are dangerous people about.,1 star
Such as yourselves?,1 star
"Two young, strong men",2 stars
walking through such a dangerous place.,1 star
No human has set foot,1 star
in these woods in years.,5 stars
"Apart from you, you mean?",2 stars
"Yes, of course.",3 stars
I am but a humble sage,3 stars
travelling through Kishkindha,4 stars
on a pilgrimage of inner reflection.,5 stars
The quietness of these woods,5 stars
helps bring peace to my soul.,5 stars
We apologise if we have disturbed,1 star
your meditations.,5 stars
"You're dressed like sages yourselves,",5 stars
but you don't look as if you're here,3 stars
to seek peace.,5 stars
We're here to find Sugreev.,4 stars
Sugreev? Ruler of the vaanars?,2 stars
Why do you want to see him?,1 star
It's a painful story.,1 star
We would rather tell Sugreev himself.,3 stars
"I see. Well, young man,",4 stars
I've sipped misery from my bowl,1 star
and I know how bitter it tastes.,5 stars
Share your tale with me.,5 stars
"Perhaps, we can find some way",3 stars
to sweeten that bitterness.,5 stars
Very well.,5 stars
It started some time back...,2 stars
"My brother, his wife, Sita, and I...",5 stars
lived peacefully as hermits,5 stars
in the Dandaka Forest.,5 stars
"One day, Sita spotted",1 star
a beautiful golden deer,5 stars
and asked my brother,5 stars
to fetch it for her.,3 stars
But the deer was in fact,3 stars
"the rakshas Maricha in disguise,",5 stars
who acted as bait.,5 stars
"He lured my brother deep into the jungle,",5 stars
"and, as my brother slew him,",5 stars
he continued his tricks by screaming,4 stars
for help in my brother's voice.,4 stars
When Sita heard,2 stars
"my brother's scream,",5 stars
she begged me to go after him.,5 stars
"To my shame, I did.",1 star
Leaving her alone and unguarded.,1 star
"When we returned, Sita was gone.",1 star
We learnt that she had been abducted,1 star
"and taken away in the flying chariot,",1 star
Pushpak Viman.,5 stars
"The king of vultures, Jatayu,",5 stars
tried to save her.,1 star
But his wings were ruthlessly ripped off,2 stars
by a rakshas.,5 stars
His dying words told us,1 star
to follow Sita in this direction.,5 stars
"On our way, we battled a gandharva",4 stars
named Kabandha,1 star
and freed him from his curse.,5 stars
"As thanks, Kabandha told us",5 stars
"to find the wise Sugreev,",3 stars
for his vaanars could help find,3 stars
Sita anywhere in the forest.,5 stars
"And so, o wise sage, now that you",5 stars
"have heard our story, will you help us?",5 stars
Do you know how to find Sugreev?,3 stars
"I am moved by your story,",3 stars
young warriors.,5 stars
But Sugreev is in hiding,3 stars
and does not wish to be found.,2 stars
I do not think he will help you.,2 stars
He has few resources himself,2 stars
to be squandered,1 star
on what could be a fool's quest.,5 stars
A fool's quest?,1 star
"I know it seems hopeless,",3 stars
but we can never give up.,3 stars
My life has no meaning without Sita.,1 star
Can you understand that?,3 stars
There is more to this,3 stars
than you can understand.,5 stars
"Yet, I must consider my King...",5 stars
this Sugreev's other burdens.,3 stars
We may be able to help him.,3 stars
"We go to him for aid, but we offer him",3 stars
a chance to reclaim his kingdom.,5 stars
Sugreev's burdens are heavy.,3 stars
Heavier than you can imagine.,3 stars
How can I know,5 stars
you are telling the truth?,1 star
Because you are walking,5 stars
"the same path as me, my friend.",5 stars
Who? Who are you?,1 star
I am... Ram.,5 stars
Who? Who are you really?,1 star
A friend. A friend to you,5 stars
and to your Lord Sugreev.,5 stars
What is this creature?,1 star
He is a vaanar.,1 star
"I am Ram, once a Prince of Ayodhya.",5 stars
"This is my brother, Lakshman.",5 stars
Forgive my deception.,1 star
I needed to learn whether you were a friend,3 stars
or foe to my Lord Sugreev.,3 stars
And what have you learned?,5 stars
That there is more to you,3 stars
"than appears, Prince.",1 star
And perhaps there is more to myself.,3 stars
"I don't know why,",3 stars
"but, after meeting you, I feel whole.",3 stars
As if a part of me was always,4 stars
"missing before. I trust you, Prince Ram.",5 stars
My brother has that effect on people.,5 stars
Come with me. I will take you,5 stars
to my Lord Sugreev at Rishyamukh.,5 stars
"Before we do that, we must know",5 stars
who has greeted us,5 stars
with such kindness and friendship.,5 stars
What is your name?,1 star
I am Hanuman.,5 stars
You all will die,5 stars
"Step away from him, Angad. Now!",1 star
"I am your prince, old bear",5 stars
You don't make requests of me,1 star
"You misunderstand me, child",1 star
It wasn't a request!,1 star
Did you know he could do that?,1 star
No. But I know I'm never going,1 star
"to call him ""old bear"" again",5 stars
"Nirvani, where are you going?",1 star
To get help,5 stars
Things are worse than my uncle thought,2 stars
The darkness is spreading,5 stars
Something is wrong with you,1 star
"Look at me, Prince Angad",5 stars
Show me your eyes Let me see,5 stars
"Hanuman, where are you?",5 stars
"Are you ready to play our game,",5 stars
little vaanar?,3 stars
Who... what are you?,1 star
I am the darkness,5 stars
that extinguishes hope,5 stars
I am the despair,1 star
that sits in the heart,3 stars
of every creature,5 stars
Why are you doing this?,1 star
My mistress needs you to fail,5 stars
Ram must never find Sita,5 stars
Is this how you win your game then?,5 stars
By cheating? To stop me from fighting?,1 star
Your fists won't help you here,1 star
For this is the domain of the mind,4 stars
My mind versus yours,5 stars
"In here, I will crush your spirit,",5 stars
shatter your hope,5 stars
"And then,",2 stars
"once you are consumed with despair,",5 stars
you will beg me to end your life,5 stars
"Show me your eyes, Angad",5 stars
Look at me!,5 stars
I'll kill you! I'll rip you apart,1 star
Patal magic!,5 stars
You...,1 star
Stop him! Hariya is behind this,1 star
"After him, Nil!",1 star
Who knew you still had some fight,3 stars
"inside you, old bear?",1 star
Stand down. I don't want to hurt you,1 star
I've been fighting since before,5 stars
"your great grandfather was born, boy",5 stars
You couldn't hurt me,5 stars
even if you tried,1 star
"I'm sorry, my Prince. Sleep now",1 star
I will free you from this curse,5 stars
I'm getting too old for this,2 stars
I can sense your devotion for Ram,5 stars
You failed him,1 star
"Because of you, Sita will die",5 stars
Ravan will kill her,5 stars
No. I won't let it happen,1 star
"Once Sita is dead,",1 star
Ram will die of a broken heart,1 star
And how long will Lakshman live,5 stars
with his grief after that?,3 stars
You failed the only mission,1 star
that ever mattered in your pathetic life,1 star
To think Ram trusted you How sad,5 stars
Now they will all die,1 star
It can't be over. No...,1 star
No... no,1 star
All because of you,1 star
No... no,1 star
No!,1 star
The vaanars need our help!,5 stars
Hanuman is trapped inside the vines,1 star
Then Hanuman's fate is sealed,4 stars
"If he's not freed soon,",3 stars
the darkness will consume his soul,5 stars
Then we must fight,5 stars
No. I forbid you from helping him,1 star
"But, King Suketu, he needs us",3 stars
He serves Ram,5 stars
The man who destroyed my family,5 stars
I will see him suffer the same pain,2 stars
"Punish me if you must,",5 stars
but I will help the vaanars,3 stars
Then you're a fool,1 star
The evil is too strong. You'll die,1 star
Better to die defending our future,5 stars
than to live trapped,1 star
with the ghosts of our past,5 stars
"Without the power of the mahayagna,",2 stars
"without my power, you have no hope",1 star
"Uncle, that's where you're wrong",1 star
I'm fighting for hope. We all are,5 stars
"Nirvani, please!",1 star
You're all I have left,5 stars
But I want to help them,3 stars
"I love you, Uncle. Goodbye",5 stars
"We got him, old be...",5 stars
"I mean, Jambhvan",2 stars
And we found this on him,5 stars
"Careful, don't let even a drop touch you",5 stars
What did you do to him?,5 stars
Answer me!,5 stars
You don't understand,1 star
I had no choice!,1 star
What are you talking about?,5 stars
Whatever he's afraid of seems to scare him,4 stars
even more than Jambhvan,5 stars
"And after today, nothing scares me",5 stars
more than Jambhvan,5 stars
I was just praising you,5 stars
No offence,5 stars
Look!,5 stars
"The vines, they're changing",3 stars
The evil is getting worse,1 star
"Oh, no. She'll find me",1 star
This was my only chance. Please help me!,1 star
"Who, Hariya? Who will find you?",5 stars
Speak before I rip your tongue off,1 star
Shurpanakha,3 stars
Who?,1 star
The vines. Look at them!,5 stars
Run! We must escape!,1 star
Run? Where can we run?,1 star
It's too late,2 stars
"Ma, I'm scared. What's happening?",3 stars
"It's okay, little one It's okay",3 stars
"Jambhvan, we came to fight with you",5 stars
What's happened to Angad?,1 star
He's been infected by Patal magic,1 star
I don't know how to save him,2 stars
Has Hanuman returned?,1 star
"No, and I fear the worst",1 star
The vines are growing stronger,3 stars
Then we need to be stronger as well,3 stars
Follow me,5 stars
Come back,5 stars
You can't chop away these vines,5 stars
Better to try something,2 stars
than to sit around and wait to die,3 stars
She does have a point,3 stars
"After you, brother",5 stars
"Hanuman, fight this, my friend",5 stars
For all of us,5 stars
"It's almost over, now",2 stars
Give in to the despair,5 stars
The fear,5 stars
Everything that lives,5 stars
is scared of the dark,5 stars
"What is it, son?",5 stars
"Ma, I can't sleep",3 stars
I'm scared of the dark,5 stars
"There's nothing to be afraid of,",5 stars
little one,3 stars
But there are bad things,3 stars
in the darkness. I know it,5 stars
"The more you focus on those bad things,",2 stars
the scarier they grow,5 stars
"Come, child",5 stars
Did I ever tell you that there's a fight,1 star
going on every day inside me?,1 star
What? What fight?,1 star
There is a terrible fight happening,1 star
right now between two wolves,5 stars
One is dark and evil,1 star
"He is anger, envy,",5 stars
"hatred, greed, sadness...",1 star
and fear,5 stars
One is light and goodness,5 stars
"He is joy and peace, love,",5 stars
"happiness, kindness...",5 stars
and hope,5 stars
And every day they are fighting,5 stars
inside of me,1 star
The same fight is also going on,3 stars
inside you,5 stars
In me?,2 stars
And inside every person,5 stars
"Okay, now time for bed",3 stars
"But, Ma, wait. Which wolf wins?",3 stars
That's easy. The one you feed,3 stars
"Son, in the darkest day,",5 stars
"in the blackest night,",5 stars
let hope guide you,5 stars
with its eternal light,5 stars
What? A smile?,1 star
What could you possibly have,5 stars
to smile about?,2 stars
"You seem troubled, my friend",3 stars
It's just I'm not sure I can do this,3 stars
I'm worried,2 stars
that I'll fail you in this mission,5 stars
"When I'm near you,",5 stars
"I feel such a sense of hope, of calmness",5 stars
If only I had your strength,4 stars
"Then please, Hanuman,",5 stars
take my strength,5 stars
Take my hope,5 stars
Take my calmness. It's yours,5 stars
I don't understand,2 stars
"This journey will test you, Hanuman",5 stars
You will face challenges and darkness,5 stars
that I would wish on no one,1 star
"But know this, my friend,",5 stars
"wherever you go, wherever you are,",5 stars
speak my name,5 stars
and I will be with you. Always,5 stars
This is impossible,1 star
Ram,1 star
Ram. Ram,1 star
Ram,1 star
Ram,1 star
Ram,1 star
What... are you doing?,1 star
Stop it now!,1 star
What? How can this be happening?,1 star
I'm in your mind now,5 stars
The vines are still mine to control,4 stars
I won't release them,1 star
Your friends are still trapped,5 stars
We'll see about that,3 stars
"But, first, tell me everything",3 stars
about your mistress,4 stars
Look! The vines are turning green,1 star
again,5 stars
They're still attacking though,3 stars
It's Hanuman,3 stars
It must be. He's winning,5 stars
the battle inside. We must help him,5 stars
They can be cut,3 stars
I just cut one!,5 stars
Nirvani! Nirvani!,1 star
"Hold on! Jambhvan, we need help!",5 stars
Let me go. Save yourselves,1 star
Just tell my uncle...,5 stars
tell him I'm sorry,1 star
Sorry for what?,1 star
For reminding this old fool,5 stars
of the man he should've been all along,5 stars
The mahayagna. Suketu performed it,5 stars
and gained its power,5 stars
Uncle!,5 stars
"I'm the one who's sorry, Nirvani",1 star
Thank you for reminding me,5 stars
to hold on to what we have,4 stars
You need to help Angad,3 stars
He has been corrupted by Patal magic,3 stars
I've never seen this before,5 stars
Can you save him?,1 star
"I'll try, but this is different",3 stars
than the vines. Worse. I'll try though,2 stars
Angad?,3 stars
What happened?,1 star
I feel like I've been hit by an elephant,5 stars
Make that ten elephants,1 star
"Oh, that was Jambhvan",2 stars
He totally crushed you,1 star
Took you down with one hit,1 star
Jambhvan? What?,2 stars
"My apologies, Prince,",5 stars
but you weren't yourself,3 stars
It was a lucky hit,4 stars
You're burning up,1 star
"Jambhvan, I don't feel so good...",2 stars
The curse is too strong,2 stars
"I've slowed it down, removed the rage",5 stars
"But, in the end, it will kill him",3 stars
There must be something,1 star
that can save him!,5 stars
"Jambhvan, look!",5 stars
Thank the gods,5 stars
To lose them both would be unthinkable,2 stars
Hanuman! You're safe!,5 stars
"I knew you would help us,",3 stars
King Suketu,5 stars
Without you weakening the evil,5 stars
"from within,",4 stars
my power alone,5 stars
would not have been enough,2 stars
"We owe you our lives, Hanuman",5 stars
We saved each other. Together,5 stars
Angad?,3 stars
What's happened to him?,1 star
He's been cursed,1 star
We have an enemy that's been stalking us,1 star
since we left Kishkindha. A powerful one,5 stars
I know. Her name is Shurpanakha,3 stars
The evil inside the vines told me,5 stars
everything about her,5 stars
Shurpanakha? The sister of Ravan?,3 stars
"She is powerful, yes",5 stars
But not nearly on the level of her brother,3 stars
She couldn't have done all this,1 star
by herself,4 stars
"Maybe not before,",3 stars
but her powers have grown,3 stars
I learned that she trapped,1 star
"a yogini named Swayamprabha,",3 stars
in the caves of Rikshabila,5 stars
She feeds off her power,2 stars
Swayamprabha has always protected,5 stars
this forest,5 stars
Her power is immense,5 stars
"Yes, and Swayamprabha",5 stars
may also be the only one,3 stars
that can save your friend,5 stars
Provided we can save her first,4 stars
"Hanuman, if we go to Rikshabila,",3 stars
we don't know how much time,3 stars
it will take there,4 stars
And we may never be able to find,1 star
Princess Sita in time,5 stars
Which means...,3 stars
you have to choose,3 stars
Go to Rikshabila to save Prince Angad,5 stars
Or find Princess Sita,3 stars
before time runs out,2 stars
and let Prince Angad die,5 stars
"At the dawn of time,",5 stars
"who we now know as Ravan,",5 stars
was a devotee to Lord Brahma.,5 stars
"For uncountable years,",2 stars
"he stood unmoving,",1 star
his entire existence consumed,1 star
by a penance to the Lord of Creation.,5 stars
Ravan's devotion was absolute.,5 stars
Legend has it,5 stars
he made a great and bloody sacrifice,5 stars
of his own body,5 stars
to honour Lord Brahma.,5 stars
But when the years of penance,3 stars
to Lord Brahma,5 stars
failed to summon,1 star
"the God of Creation to him,",5 stars
he decided that the only way to show,3 stars
the strength of his devotion,5 stars
was to perform the ultimate sacrifice.,5 stars
"Impressed by his devotion,",5 stars
Lord Brahma appeared,5 stars
and offered him any boon he wished.,5 stars
Ravan had but one desire.,3 stars
Immortality.,5 stars
Ravan sought to become equal,3 stars
"to the gods themselves,",5 stars
Lord Brahma refused.,1 star
"Furious, Ravan then asked",1 star
for another boon.,1 star
"He demanded that no god, no deva,",1 star
"no asura, no rakshas, no naag,",1 star
"no animal, no spirit",1 star
and no creature from Swarg,1 star
or Patal could ever kill him,1 star
or hurt him.,1 star
"On hearing this boon, Lord Brahma,",1 star
"bound by his word, agreed.",5 stars
And then a great terror,5 stars
was unleashed upon the universe.,1 star
The age of Ravan began.,4 stars
This is the horror,1 star
"that has taken your wife, Prince Ram.",5 stars
Now you know why I hesitated,3 stars
telling you about the jewels.,5 stars
Ravan is not someone you want,1 star
as an enemy.,5 stars
He became my enemy,5 stars
the day he set his eyes on my wife.,5 stars
But this is more,3 stars
than righting one wrong.,1 star
"Ravan's conquests, his flames of war",5 stars
will reduce the world to ash.,5 stars
He must be stopped,1 star
for the sake of all that live.,5 stars
"All you say is true,",5 stars
yet who can stop him?,1 star
Did you not listen to the old bear?,1 star
His boon will protect him,5 stars
even from your fine mace.,5 stars
Is that so?,3 stars
I'd like to see for myself,4 stars
how my mace fares against the demon.,5 stars
"Your tale, wise Jambhvan,",5 stars
is it complete?,3 stars
The boon Ravan was granted,4 stars
gave him invulnerability against all?,1 star
"God, deva, asura,",5 stars
"rakshas, naag, animal, spirit",5 stars
and any creature,5 stars
from Swarg or Patal.,5 stars
That's nearly everyone.,3 stars
There is one thing,1 star
that can harm Ravan then.,3 stars
One creature he overlooked,1 star
in his hubris and pride.,5 stars
What?,1 star
Man.,5 stars
Which means,3 stars
"that you, Prince Ram, can kill him!",5 stars
"Together, good Hanuman, together.",5 stars
"But first, King Sugreev,",3 stars
we must help you and your people.,5 stars
Vaali.,1 star
"Something on your mind,",5 stars
my friend?,1 star
It is indeed.,5 stars
"Yesterday, when Prince Ram spared",1 star
"the life of that rakshas,",5 stars
I haven't been able,2 stars
to stop thinking about it.,1 star
It's something that,5 stars
took me time to understand.,4 stars
Ram sees the world differently.,4 stars
But you're brothers.,3 stars
Are you really that different?,1 star
The same way the moon and the sun,5 stars
"are different,",3 stars
but belong to the same sky.,3 stars
"Actually, I'm probably more like you.",3 stars
I love a good fight.,5 stars
My bow does all the talking.,5 stars
It's always with me.,5 stars
Like the way you hold that mace.,5 stars
I bet you're pretty fierce with it.,3 stars
Though I'm pretty sure,3 stars
it wouldn't stand up against my bow.,2 stars
My mace would snap,2 stars
that twig of yours with one blow.,1 star
Maybe.,3 stars
But you'd never even get close,3 stars
enough to try.,3 stars
"Well, it's a good thing",4 stars
you like me then.,5 stars
Good thing.,4 stars
"As I said, we're a lot alike.",3 stars
"I bet you have a temper like me, too.",3 stars
"Mine used to be worse,",2 stars
but my brother helped me control it.,4 stars
I've seen yours. Mine is just as bad.,1 star
"Believe it or not,",1 star
I used to be much worse.,2 stars
"But being beside my brother,",3 stars
it calms me.,5 stars
I have never met anyone like him.,5 stars
"It's funny, my earliest memories",4 stars
are of Ram. Always Ram.,1 star
"He is older, wiser.",3 stars
He is my role model for all things.,5 stars
"Ram is my standard, my inspiration.",5 stars
But I always fell a little short.,3 stars
"Where he was serene,",5 stars
I could be quick to anger.,3 stars
"Where he was judicious,",3 stars
I could be impulsive.,3 stars
"But now, as then, I do my best.",4 stars
"Now, as then, I understand my duty.",5 stars
We are so similar.,2 stars
You and I are bound by duty.,5 stars
"My first loyalty is to Ram,",5 stars
and I'll always stay by his side.,5 stars
"Where Ram is,",3 stars
there shall Lakshman be as well.,5 stars
"Despite being brothers,",3 stars
"we're different, Hanuman.",3 stars
I am not the warrior he is.,2 stars
I am not the hero he is.,2 stars
"But by aspiring to be like him,",3 stars
I've become a better man,3 stars
than I could've ever imagined.,5 stars
Perhaps you could be as well.,3 stars
I think I understand.,5 stars
Thank you.,5 stars
You can thank me by letting me try,5 stars
a swing of that mace of yours.,5 stars
I have to test it out.,3 stars
"My King, what troubles you?",5 stars
You will not understand.,1 star
Try me.,3 stars
"This is a matter between kings,",3 stars
Hanuman.,5 stars
Not something solved,1 star
by the swing of your mace.,5 stars
Are you sure?,3 stars
